wy,0,0
sc,3,0
sc,5,0
sk,6,0
sp,7,0
sl,8,0
sc,9,0
sp,10,0
sl,11,0
sm,12,0
sk,13,0
sc,14,0
sp,15,0
sk,16,0
sl,17,0
sm,18,0
sc,20,0
sk,21,0
sl,22,0
sp,23,0
sm,24,0
sc,25,0
sp,26,0
sk,27,0
sl,28,0
sm,29,0
sc,30,0
sc,32,0
sp,33,0
sk,34,0
sl,35,0
sc,36,0
sp,37,0
sk,38,0
sl,39,0
sm,40,0
sc,41,0
sp,42,0
sk,43,0
sl,44,0
sm,45,0
sc,47,0
sp,48,0
sk,49,0
sl,50,0
sm,51,0
sc,55,0
sp,56,0
sk,57,0
sl,58,0
sm,59,0
sa,1,1
sc,3,1
sc,5,1
sc,9,1
sc,14,1
sc,20,1
sc,25,1
sc,30,1
sc,36,1
sc,41,1
sc,47,1
sc,55,1
sc,3,2
sc,5,2
sm,8,2
sc,9,2
sc,14,2
sc,20,2
sc,25,2
sc,30,2
sc,32,2
sc,36,2
sc,41,2
sc,47,2
sc,55,2
sc,0,3
sc,2,3
sc,3,3
sc,5,3
sc,6,3
sc,8,3
sc,9,3
sc,10,3
sc,12,3
sc,13,3
sc,14,3
sc,15,3
sc,16,3
sc,17,3
sc,19,3
sc,20,3
sc,21,3
sc,22,3
sc,24,3
sc,25,3
sc,26,3
sc,27,3
sc,29,3
sc,30,3
sc,32,3
sc,33,3
sc,34,3
sc,35,3
sc,36,3
sc,37,3
sc,38,3
sc,40,3
sc,41,3
sc,42,3
sc,43,3
sc,44,3
sc,46,3
sc,47,3
sc,48,3
sc,49,3
sc,51,3
sc,52,3
sc,53,3
sc,54,3
sc,55,3
sc,56,3
sc,57,3
sc,59,3
sc,60,3
sc,61,3
sc,62,3
sc,63,3
sc,0,5
sc,1,5
sc,2,5
sc,3,5
sc,4,5
sc,5,5
sc,6,5
sc,8,5
sc,9,5
sc,10,5
sc,11,5
sc,12,5
sc,13,5
sc,14,5
sc,15,5
sc,16,5
sc,17,5
sc,18,5
sc,19,5
sc,20,5
sc,22,5
sc,23,5
sc,24,5
sc,25,5
sc,26,5
sc,27,5
sc,28,5
sc,29,5
sc,30,5
sc,31,5
sc,33,5
sc,34,5
sc,36,5
sc,37,5
sc,38,5
sc,40,5
sc,41,5
sc,42,5
sc,43,5
sc,45,5
sc,46,5
sc,47,5
sc,48,5
sc,49,5
sc,50,5
sc,51,5
sc,52,5
sc,53,5
sc,54,5
sc,56,5
sc,57,5
sc,58,5
sc,59,5
sc,60,5
sc,61,5
sc,63,5
sp,0,6
sk,1,6
sl,2,6
sm,3,6
sc,6,6
sc,8,6
sp,9,6
sk,10,6
sl,11,6
sm,12,6
sc,14,6
sp,15,6
sk,16,6
sl,17,6
sm,18,6
sc,20,6
sc,22,6
sp,23,6
sk,24,6
sl,25,6
sm,26,6
sc,28,6
sp,29,6
sk,30,6
sl,31,6
sm,33,6
sc,34,6
sc,36,6
sp,37,6
sk,38,6
sl,40,6
sm,41,6
sc,43,6
sc,45,6
sp,46,6
sk,47,6
sl,48,6
sm,49,6
sc,51,6
sp,52,6
sk,53,6
sl,54,6
sm,56,6
sc,59,6
sp,60,6
sk,61,6
sl,63,6
sc,6,7
sc,8,7
sc,14,7
sc,20,7
sc,28,7
sc,34,7
sc,36,7
sc,43,7
sc,45,7
sc,51,7
sc,59,7
sm,63,7
sc,8,8
sc,14,8
sc,20,8
sc,22,8
sc,28,8
sc,34,8
sc,36,8
sc,43,8
sc,51,8
sc,59,8
sc,6,9
sc,8,9
sc,14,9
sc,20,9
sc,22,9
sc,28,9
sc,34,9
sc,36,9
sc,43,9
sc,45,9
sc,51,9
sc,59,9
sc,0,10
sc,1,10
sc,2,10
sc,3,10
sc,4,10
sc,5,10
sc,6,10
sc,8,10
sc,9,10
sc,10,10
sc,12,10
sc,13,10
sc,14,10
sc,15,10
sc,17,10
sc,18,10
sc,19,10
sc,20,10
sc,22,10
sc,23,10
sc,24,10
sc,25,10
sc,26,10
sc,27,10
sc,28,10
sc,29,10
sc,30,10
sc,31,10
sc,32,10
sc,33,10
sc,34,10
sc,36,10
sc,37,10
sc,38,10
sc,39,10
sc,40,10
sc,41,10
sc,42,10
sc,43,10
sc,45,10
sc,46,10
sc,47,10
sc,48,10
sc,49,10
sc,50,10
sc,51,10
sc,52,10
sc,53,10
sc,54,10
sc,55,10
sc,56,10
sc,57,10
sc,58,10
sc,59,10
sc,60,10
sc,61,10
sc,62,10
sc,63,10
sc,22,11
sp,23,11
sk,24,11
sl,25,11
sm,26,11
sc,28,11
sp,29,11
sk,30,11
sl,31,11
sm,32,11
sc,34,11
sc,45,11
sp,46,11
sk,47,11
sl,48,11
sm,49,11
sc,51,11
sc,0,12
sc,1,12
sc,2,12
sc,4,12
sc,5,12
sc,6,12
sc,8,12
sc,9,12
sc,10,12
sc,11,12
sc,12,12
sc,13,12
sc,14,12
sc,16,12
sc,17,12
sc,18,12
sc,19,12
sc,20,12
sc,22,12
sc,28,12
sc,34,12
sc,36,12
sc,37,12
sc,38,12
sc,39,12
sc,40,12
sc,41,12
sc,42,12
sc,43,12
sc,45,12
sc,51,12
sc,53,12
sc,54,12
sc,55,12
sc,57,12
sc,58,12
sc,59,12
sc,60,12
sc,62,12
sc,63,12
sp,0,13
sk,1,13
sl,2,13
sm,4,13
sc,6,13
sc,8,13
sp,9,13
sk,10,13
sl,11,13
sm,12,13
sc,14,13
sc,16,13
sp,17,13
sk,18,13
sl,19,13
sc,20,13
sc,22,13
sc,28,13
sc,34,13
sc,36,13
sp,37,13
sk,38,13
sl,39,13
sm,40,13
sc,43,13
sc,45,13
sc,51,13
sc,53,13
sp,54,13
sk,55,13
sl,57,13
sm,58,13
sc,59,13
sc,6,14
sc,14,14
sc,16,14
sc,22,14
sc,28,14
sc,36,14
sc,43,14
sc,45,14
sc,51,14
sc,53,14
sc,59,14
sc,6,15
sc,8,15
sc,14,15
sc,16,15
sm,18,15
sc,20,15
sc,22,15
sc,28,15
sc,34,15
sc,36,15
sc,43,15
sc,45,15
sc,51,15
sc,53,15
sc,59,15
sm,60,15
sp,61,15
sk,62,15
sl,63,15
sc,0,16
sc,1,16
sc,2,16
sc,3,16
sc,4,16
sc,5,16
sc,6,16
sc,8,16
sc,9,16
sc,10,16
sc,11,16
sc,12,16
sc,13,16
sc,14,16
sc,16,16
sc,17,16
sc,18,16
sc,19,16
sc,20,16
